Id;TipoOperacion;Region;Comuna;EstaPublicada;EstaEliminada;CodigoPropiedad;Dormitorios;Banos;AñoConstruccion;FechaPublicacionDespliegue;MetrosUtiles;MetrosConstruidos;MetrosTerreno;MetrosTerraza;PrecioDesde;PrecioHasta;PrecioPesos;PrecioUF;Latitud;Longitud;CantidadVisitas;CantidadFavoritos;CantidadInteresados;Exitosa;NombreCorredora;UriFicha
840166;Venta Nuevo;Valparaiso;Los Andes;true;false;;3;2;0;03-08-2017;70.39;70.39;0.0;0.0;2389.0;2389.0;6.5854672E7;2389.0;-32.809718;-70.582031;5495;7;1657;true;;
198553;Venta Nuevo;Metropolitana;Buin;true;false;;3;3;0;19-05-2011;81.55;81.55;170.0;0.0;3160.0;3160.0;8.7107896E7;3160.0;-33.735386;-70.721762;25437;44;8695;true;;https://www.avellaneda.cl/proyectos/condominio-plaza-buin/
262742;Venta Nuevo;Metropolitana;Colina;true;false;;4;4;0;05-08-2014;136.77;136.77;136.77;0.0;8523.0;8523.0;2.34943228E8;8523.0;-33.318767;-70.6499;51628;23;5322;true;;
198552;Venta Nuevo;Metropolitana;Padre Hurtado;true;false;;2;2;0;19-05-2011;72.9;72.9;81.5;0.0;3474.0;3474.0;9.5763554E7;3474.0;-33.564895;-70.823484;38789;60;14594;true;;https://www.avellaneda.cl/proyectos/alto-casares/
1070841;Venta Nuevo;Biobío;Chillán;true;false;;3;1;0;21-08-2018;50.17;50.17;50.17;0.0;1567.0;1567.0;4.3195592E7;1567.0;-36.599297;-72.116315;3101;0;596;true;;https://www.convet.cl/casas-venta/barrio-las-pataguas/
868107;Venta Nuevo;Bernardo OHiggins ;Rancagua;true;false;;3;1;0;28-09-2017;50.17;50.17;0.0;0.0;1690.0;1690.0;4.6586185E7;1690.0;-34.163863;-70.784472;16151;24;3885;true;;
1027104;Venta Nuevo;Valparaiso;Quillota;true;false;;3;1;0;08-06-2018;50.17;50.17;0.0;0.0;1490.0;1490.0;4.1073027E7;1490.0;-32.894511;-71.263987;8540;11;1046;true;;https://www.convet.cl/casas-venta/barrio-los-maitenes/
446080;Venta Nuevo;Metropolitana;Buin;true;false;;3;2;0;07-10-2015;77.04;77.04;0.0;0.0;2990.0;2990.0;8.2421712E7;2990.0;-33.736401;-70.71523;16121;15;4848;true;;
234607;Venta Nuevo;Metropolitana;Colina;true;false;;3;2;0;10-04-2014;67.8;67.8;0.0;0.0;2350.0;2350.0;6.4779606E7;2350.0;-33.213719;-70.682945;23357;28;7347;true;;
449170;Venta Nuevo;Metropolitana;Colina;true;false;;4;4;0;15-10-2015;170.0;170.0;170.0;0.0;11259.0;11259.0;3.10363229E8;11259.0;-33.31234;-70.656902;12224;3;2319;true;;http://www.inmobiliariasecurity.cl/inmobiliaria-security/brisas-del-canto.html
234241;Venta Nuevo;Metropolitana;Pudahuel;true;false;;3;3;0;03-04-2014;100.8;100.8;100.8;0.0;5160.0;5160.0;1.42239476E8;5160.0;-33.465056;-70.863056;29526;23;7044;true;;
825641;Venta Nuevo;Metropolitana;Lo Barnechea;true;false;;3;3;0;06-07-2017;235.0;235.0;0.0;0.0;24332.0;24332.0;6.70730802E8;24332.0;-33.31551;-70.543571;7323;9;2573;true;;
