Id;TipoOperacion;Region;Comuna;EstaPublicada;EstaEliminada;CodigoPropiedad;Dormitorios;Banos;AñoConstruccion;FechaPublicacionDespliegue;MetrosUtiles;MetrosConstruidos;MetrosTerreno;MetrosTerraza;PrecioDesde;PrecioHasta;PrecioPesos;PrecioUF;Latitud;Longitud;CantidadVisitas;CantidadFavoritos;CantidadInteresados;Exitosa;NombreCorredora;UriFicha
721547;Venta Nuevo;Metropolitana;Las Condes;true;false;;3;3;0;11-01-2017;119.48;137.0;137.0;0.0;9540.0;9540.0;2.62977636E8;9540.0;-33.429228;-70.565651;8936;22;3266;true;;http://www.delabase.cl/
199148;Venta Nuevo;Metropolitana;Las Condes;true;false;;2;2;0;29-05-2013;89.61;111.72;111.72;0.0;10029.0;10029.0;2.76457307E8;10029.0;-33.419997;-70.566551;1168;2;372;true;;https://inmobiliaria.mpc.cl/
422645;Venta Nuevo;Metropolitana;Las Condes;true;false;;3;3;0;14-08-2015;136.56;185.37;185.37;0.0;14540.0;14540.0;4.00806586E8;14540.0;-33.401647;-70.568228;10596;16;3205;true;;https://ialmahue.com/propiedades/edificio-riesco-6540/
1008435;Venta Nuevo;Metropolitana;Vitacura;true;false;;2;2;0;11-05-2018;80.09;101.38;101.38;0.0;8296.0;8296.0;2.28685793E8;8296.0;-33.374047;-70.525941;3900;6;1288;true;;https://inmobiliaria.mpc.cl/
1094116;Venta Nuevo;Metropolitana;Vitacura;true;false;;3;3;0;05-10-2018;123.7;169.99;169.99;0.0;17642.0;17642.0;4.86315667E8;17642.0;-33.393082;-70.591457;805;1;105;true;;https://inmobiliaria.mpc.cl/departamentos-venta/providencia/agustin-del-castillo/
723427;Venta Nuevo;Metropolitana;Las Condes;true;false;;3;3;0;16-01-2017;193.99;226.3;226.3;0.0;20362.0;20362.0;5.61294615E8;20362.0;-33.411329;-70.505768;33803;10;4825;true;;
1142890;Venta Nuevo;Metropolitana;Lo Barnechea;true;false;;4;5;0;18-12-2018;247.3;354.32;354.32;0.0;31974.0;31974.0;8.81388569E8;31974.0;-33.341731;-70.520458;120;0;14;true;;https://inmobiliaria.mpc.cl/departamentos-venta/lo-barnechea/edificio-parque-nogales/
800524;Venta Nuevo;Metropolitana;Las Condes;true;false;;3;3;0;23-05-2017;121.65;146.96;146.96;0.0;12213.0;12213.0;3.36660993E8;12213.0;-33.425357;-70.564114;9879;17;3054;true;;
944886;Venta Nuevo;Metropolitana;La Florida;true;false;;2;2;0;29-01-2018;58.0;70.02;70.02;0.0;3860.0;3860.0;1.06403949E8;3860.0;-33.535682;-70.570235;4865;10;1460;true;;https://www.convet.cl/
941695;Venta Nuevo;Biobío;Concepción;true;false;;1;1;0;23-01-2018;31.99;37.68;37.68;0.0;2175.0;2175.0;5.9955593E7;2175.0;-36.831607;-73.054548;3263;3;937;true;;https://www.mpc.cl/
1008431;Venta Nuevo;Metropolitana;Vitacura;true;false;;3;3;0;11-05-2018;120.15;173.11;173.11;0.0;11777.0;11777.0;3.24642308E8;11777.0;-33.374047;-70.525941;2573;7;653;true;;https://inmobiliaria.mpc.cl/
1119489;Venta Nuevo;Metropolitana;Providencia;true;false;;2;2;0;23-11-2018;80.03;97.4;97.4;0.0;8484.0;8484.0;2.33868162E8;8484.0;-33.44411;-70.602759;512;0;243;true;;https://inmobiliaria.mpc.cl/departamentos-venta/providencia/proyecto-59.html
